Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
200983537,B01,20041897,Medical Incident,04/07/2020,04/07/2020,04/07/2020 11:49:32 PM,04/07/2020 11:50:11 PM,04/07/2020 11:50:27 PM,04/07/2020 11:52:18 PM,,,,No Merit,04/07/2020 11:57:30 PM,1600 Block of PACIFIC AVE,San Francisco,94109,B04,41,3125,3,3,3,false,Potentially Life-Threatening,1,CHIEF,5,4,3,Russian Hill,"(37.79486812398222, -122.42239395532656)",200983537-B01
200983537,52,20041897,Medical Incident,04/07/2020,04/07/2020,04/07/2020 11:49:32 PM,04/07/2020 11:50:11 PM,04/07/2020 11:50:27 PM,04/07/2020 11:50:33 PM,04/07/2020 11:52:26 PM,,,No Merit,04/07/2020 11:58:17 PM,1600 Block of PACIFIC AVE,San Francisco,94109,B04,41,3125,3,3,3,true,Potentially Life-Threatening,1,MEDIC,1,4,3,Russian Hill,"(37.79486812398222, -122.42239395532656)",200983537-52
200983534,54,20041896,Medical Incident,04/07/2020,04/07/2020,04/07/2020 11:45:43 PM,04/07/2020 11:47:29 PM,04/07/2020 11:48:15 PM,04/07/2020 11:48:20 PM,04/07/2020 11:57:38 PM,04/08/2020 12:10:01 AM,04/08/2020 12:25:37 AM,Code 2 Transport,04/08/2020 01:06:30 AM,200 Block of BLYTHDALE AVE,San Francisco,94134,B09,43,6243,2,2,2,true,Non Life-threatening,1,MEDIC,1,9,10,Visitacion Valley,"(37.71099971611151, -122.42051324369238)",200983534-54
200983532,T10,20041895,Alarms,04/07/2020,04/07/2020,04/07/2020 11:43:19 PM,04/07/2020 11:45:27 PM,04/07/2020 11:45:52 PM,04/07/2020 11:47:20 PM,,,,Fire,04/07/2020 11:55:30 PM,3500 Block of PACIFIC AVE,San Francisco,94118,B07,10,4425,3,3,3,false,Alarm,1,TRUCK,3,7,2,Presidio Heights,"(37.79066766419295, -122.45341474235528)",200983532-T10
200983532,E10,20041895,Alarms,04/07/2020,04/07/2020,04/07/2020 11:43:19 PM,04/07/2020 11:45:27 PM,04/07/2020 11:45:52 PM,04/07/2020 11:47:38 PM,04/07/2020 11:51:25 PM,,,Fire,04/07/2020 11:58:03 PM,3500 Block of PACIFIC AVE,San Francisco,94118,B07,10,4425,3,3,3,true,Alarm,1,ENGINE,1,7,2,Presidio Heights,"(37.79066766419295, -122.45341474235528)",200983532-E10
200983532,B04,20041895,Alarms,04/07/2020,04/07/2020,04/07/2020 11:43:19 PM,04/07/2020 11:45:27 PM,04/07/2020 11:45:52 PM,04/07/2020 11:47:41 PM,04/07/2020 11:52:33 PM,,,Fire,04/07/2020 11:55:30 PM,3500 Block of PACIFIC AVE,San Francisco,94118,B07,10,4425,3,3,3,false,Alarm,1,CHIEF,2,7,2,Presidio Heights,"(37.79066766419295, -122.45341474235528)",200983532-B04
200983507,RC5,20041894,Medical Incident,04/07/2020,04/07/2020,04/07/2020 11:26:26 PM,04/07/2020 11:29:50 PM,04/08/2020 12:13:45 AM,04/08/2020 12:13:45 AM,04/08/2020 12:31:49 AM,,,Code 2 Transport,04/08/2020 01:25:59 AM,0 Block of CONKLING ST,San Francisco,94124,B10,42,6363,3,3,3,true,Non Life-threatening,1,RESCUE CAPTAIN,3,10,10,Bayview Hunters Point,"(37.73560595855165, -122.40182877308172)",200983507-RC5
200983507,E42,20041894,Medical Incident,04/07/2020,04/07/2020,04/07/2020 11:26:26 PM,04/07/2020 11:29:50 PM,04/07/2020 11:31:01 PM,04/07/2020 11:32:55 PM,04/07/2020 11:34:54 PM,,,Code 2 Transport,04/07/2020 11:50:12 PM,0 Block of CONKLING ST,San Francisco,94124,B10,42,6363,3,3,3,true,Non Life-threatening,1,ENGINE,1,10,10,Bayview Hunters Point,"(37.73560595855165, -122.40182877308172)",200983507-E42
200983507,62,20041894,Medical Incident,04/07/2020,04/07/2020,04/07/2020 11:26:26 PM,04/07/2020 11:29:50 PM,04/07/2020 11:31:01 PM,04/07/2020 11:31:07 PM,04/07/2020 11:38:24 PM,04/07/2020 11:47:22 PM,04/07/2020 11:55:54 PM,Code 2 Transport,04/08/2020 01:25:28 AM,0 Block of CONKLING ST,San Francisco,94124,B10,42,6363,3,3,3,true,Non Life-threatening,1,MEDIC,2,10,10,Bayview Hunters Point,"(37.73560595855165, -122.40182877308172)",200983507-62
200983506,T01,20041893,Alarms,04/07/2020,04/07/2020,04/07/2020 11:27:34 PM,04/07/2020 11:29:47 PM,04/07/2020 11:30:16 PM,04/07/2020 11:32:23 PM,04/07/2020 11:35:25 PM,,,Fire,04/07/2020 11:39:28 PM,1500 Block of HOWARD ST,San Francisco,94103,B02,36,5114,3,3,3,false,Alarm,1,TRUCK,3,2,6,Mission,"(37.77212327747199, -122.41666728418495)",200983506-T01
200983506,E36,20041893,Alarms,04/07/2020,04/07/2020,04/07/2020 11:27:34 PM,04/07/2020 11:29:47 PM,04/07/2020 11:30:16 PM,04/07/2020 11:32:47 PM,04/07/2020 11:34:21 PM,,,Fire,04/07/2020 11:39:28 PM,1500 Block of HOWARD ST,San Francisco,94103,B02,36,5114,3,3,3,true,Alarm,1,ENGINE,1,2,6,Mission,"(37.77212327747199, -122.41666728418495)",200983506-E36
200983506,B02,20041893,Alarms,04/07/2020,04/07/2020,04/07/2020 11:27:34 PM,04/07/2020 11:29:47 PM,04/07/2020 11:30:16 PM,04/07/2020 11:32:12 PM,04/07/2020 11:35:03 PM,,,Fire,04/07/2020 11:39:28 PM,1500 Block of HOWARD ST,San Francisco,94103,B02,36,5114,3,3,3,false,Alarm,1,CHIEF,2,2,6,Mission,"(37.77212327747199, -122.41666728418495)",200983506-B02
200983496,E41,20041892,Medical Incident,04/07/2020,04/07/2020,04/07/2020 11:22:20 PM,04/07/2020 11:23:51 PM,04/07/2020 11:24:34 PM,04/07/2020 11:26:43 PM,04/07/2020 11:28:58 PM,,,Cancelled,04/07/2020 11:32:27 PM,1300 Block of PINE ST,San Francisco,94109,B04,41,1562,3,3,3,true,Alarm,1,ENGINE,1,4,3,Nob Hill,"(37.78988335136743, -122.41801242278349)",200983496-E41
200983486,E05,20041890,Medical Incident,04/07/2020,04/07/2020,04/07/2020 11:18:12 PM,04/07/2020 11:18:12 PM,04/07/2020 11:18:28 PM,04/07/2020 11:19:41 PM,04/07/2020 11:21:21 PM,,,Code 2 Transport,04/07/2020 11:28:59 PM,1700 Block of EDDY ST,San Francisco,94115,B05,05,4133,A,3,3,true,Potentially Life-Threatening,1,ENGINE,1,5,5,Western Addition,"(37.7808513149724, -122.43642728794461)",200983486-E05
200983486,67,20041890,Medical Incident,04/07/2020,04/07/2020,04/07/2020 11:18:12 PM,04/07/2020 11:18:12 PM,04/07/2020 11:18:28 PM,04/07/2020 11:18:39 PM,04/07/2020 11:25:43 PM,04/07/2020 11:40:37 PM,04/08/2020 12:09:30 AM,Code 2 Transport,04/08/2020 12:49:49 AM,1700 Block of EDDY ST,San Francisco,94115,B05,05,4133,A,3,3,true,Potentially Life-Threatening,1,MEDIC,2,5,5,Western Addition,"(37.7808513149724, -122.43642728794461)",200983486-67
200983469,QRV1,20041889,Medical Incident,04/07/2020,04/07/2020,04/07/2020 11:03:57 PM,04/07/2020 11:05:48 PM,04/07/2020 11:06:31 PM,04/07/2020 11:06:37 PM,04/07/2020 11:10:17 PM,,,Code 2 Transport,04/07/2020 11:10:29 PM,700 Block of NATOMA ST,San Francisco,94103,B02,01,2318,3,3,3,true,Potentially Life-Threatening,1,SUPPORT,2,2,6,South of Market,"(37.77600992107847, -122.41288941546145)",200983469-QRV1
200983469,KM07,20041889,Medical Incident,04/07/2020,04/07/2020,04/07/2020 11:03:57 PM,04/07/2020 11:05:48 PM,04/07/2020 11:06:31 PM,04/07/2020 11:07:13 PM,04/07/2020 11:09:16 PM,04/07/2020 11:25:03 PM,,Code 2 Transport,04/08/2020 12:07:15 AM,700 Block of NATOMA ST,San Francisco,94103,B02,01,2318,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,1,2,6,South of Market,"(37.77600992107847, -122.41288941546145)",200983469-KM07
200983448,T14,20041888,Alarms,04/07/2020,04/07/2020,04/07/2020 10:55:17 PM,04/07/2020 10:57:06 PM,04/07/2020 10:58:18 PM,04/07/2020 11:00:01 PM,04/07/2020 11:02:28 PM,,,Fire,04/07/2020 11:07:34 PM,GEARY BL/36TH AV,San Francisco,94121,B07,34,7255,3,3,3,false,Alarm,1,TRUCK,2,7,1,Outer Richmond,"(37.779550580286696, -122.496523867973)",200983448-T14
200983448,E34,20041888,Alarms,04/07/2020,04/07/2020,04/07/2020 10:55:17 PM,04/07/2020 10:57:06 PM,04/07/2020 10:58:18 PM,04/07/2020 11:00:35 PM,04/07/2020 11:01:29 PM,,,Fire,04/07/2020 11:12:11 PM,GEARY BL/36TH AV,San Francisco,94121,B07,34,7255,3,3,3,true,Alarm,1,ENGINE,1,7,1,Outer Richmond,"(37.779550580286696, -122.496523867973)",200983448-E34
200983448,B07,20041888,Alarms,04/07/2020,04/07/2020,04/07/2020 10:55:17 PM,04/07/2020 10:57:06 PM,04/07/2020 10:58:18 PM,04/07/2020 11:00:15 PM,04/07/2020 11:04:10 PM,,,Fire,04/07/2020 11:07:51 PM,GEARY BL/36TH AV,San Francisco,94121,B07,34,7255,3,3,3,false,Alarm,1,CHIEF,3,7,1,Outer Richmond,"(37.779550580286696, -122.496523867973)",200983448-B07
200983447,T03,20041887,Alarms,04/07/2020,04/07/2020,04/07/2020 10:55:15 PM,04/07/2020 10:56:44 PM,04/07/2020 10:57:42 PM,04/07/2020 10:59:06 PM,04/07/2020 11:01:05 PM,,,Fire,04/07/2020 11:15:31 PM,200 Block of TURK ST,San Francisco,94102,B03,03,1456,3,3,3,false,Alarm,1,TRUCK,1,2,6,Tenderloin,"(37.782953493134805, -122.41324374873501)",200983447-T03
200983447,E03,20041887,Alarms,04/07/2020,04/07/2020,04/07/2020 10:55:15 PM,04/07/2020 10:56:44 PM,04/07/2020 10:57:42 PM,04/07/2020 10:58:58 PM,04/07/2020 11:01:06 PM,,,Fire,04/07/2020 11:15:44 PM,200 Block of TURK ST,San Francisco,94102,B03,03,1456,3,3,3,true,Alarm,1,ENGINE,2,2,6,Tenderloin,"(37.782953493134805, -122.41324374873501)",200983447-E03
200983447,B02,20041887,Alarms,04/07/2020,04/07/2020,04/07/2020 10:55:15 PM,04/07/2020 10:56:44 PM,04/07/2020 10:57:42 PM,04/07/2020 10:59:32 PM,04/07/2020 11:02:25 PM,,,Fire,04/07/2020 11:16:47 PM,200 Block of TURK ST,San Francisco,94102,B03,03,1456,3,3,3,false,Alarm,1,CHIEF,3,2,6,Tenderloin,"(37.782953493134805, -122.41324374873501)",200983447-B02
200983437,E31,20041886,Medical Incident,04/07/2020,04/07/2020,04/07/2020 10:50:34 PM,04/07/2020 10:50:34 PM,04/07/2020 10:50:50 PM,04/07/2020 10:53:01 PM,04/07/2020 10:55:15 PM,,,Code 2 Transport,04/07/2020 10:58:09 PM,CALL BOX:,San Francisco,94118,B07,31,7144,C,3,3,false,Potentially Life-Threatening,1,ENGINE,1,7,1,Inner Richmond,"(37.77322092495425, -122.47117557687716)",200983437-E31
200983437,70,20041886,Medical Incident,04/07/2020,04/07/2020,04/07/2020 10:50:34 PM,04/07/2020 10:50:34 PM,04/07/2020 10:50:50 PM,04/07/2020 10:51:04 PM,04/07/2020 10:55:52 PM,04/07/2020 11:16:57 PM,04/07/2020 11:34:44 PM,Code 2 Transport,04/08/2020 12:08:38 AM,CALL BOX:,San Francisco,94118,B07,31,7144,C,3,3,true,Potentially Life-Threatening,1,MEDIC,2,7,1,Inner Richmond,"(37.77322092495425, -122.47117557687716)",200983437-70
200983412,T10,20041885,Alarms,04/07/2020,04/07/2020,04/07/2020 10:35:31 PM,04/07/2020 10:37:23 PM,04/07/2020 10:37:31 PM,04/07/2020 10:39:00 PM,04/07/2020 10:40:30 PM,,,Fire,04/07/2020 10:53:52 PM,2400 Block of POST ST,San Francisco,94115,B05,10,4235,3,3,3,false,Alarm,1,TRUCK,1,5,2,Japantown,"(37.78394772927667, -122.44215784406967)",200983412-T10
200983412,E10,20041885,Alarms,04/07/2020,04/07/2020,04/07/2020 10:35:31 PM,04/07/2020 10:37:23 PM,04/07/2020 10:37:31 PM,04/07/2020 10:39:17 PM,04/07/2020 10:40:52 PM,,,Fire,04/07/2020 10:53:00 PM,2400 Block of POST ST,San Francisco,94115,B05,10,4235,3,3,3,true,Alarm,1,ENGINE,2,5,2,Japantown,"(37.78394772927667, -122.44215784406967)",200983412-E10
200983412,B05,20041885,Alarms,04/07/2020,04/07/2020,04/07/2020 10:35:31 PM,04/07/2020 10:37:23 PM,04/07/2020 10:37:31 PM,04/07/2020 10:38:56 PM,04/07/2020 10:41:16 PM,,,Fire,04/07/2020 10:50:26 PM,2400 Block of POST ST,San Francisco,94115,B05,10,4235,3,3,3,false,Alarm,1,CHIEF,3,5,2,Japantown,"(37.78394772927667, -122.44215784406967)",200983412-B05
200983409,T14,20041884,Alarms,04/07/2020,04/07/2020,04/07/2020 10:34:01 PM,04/07/2020 10:35:56 PM,04/07/2020 10:36:10 PM,04/07/2020 10:37:46 PM,04/07/2020 10:40:53 PM,,,Fire,04/07/2020 10:45:58 PM,4300 Block of ANZA ST,San Francisco,94121,B07,34,7251,3,3,3,false,Alarm,1,TRUCK,2,7,1,Outer Richmond,"(37.777755885247686, -122.49477892930966)",200983409-T14
200983409,E34,20041884,Alarms,04/07/2020,04/07/2020,04/07/2020 10:34:01 PM,04/07/2020 10:35:56 PM,04/07/2020 10:36:10 PM,04/07/2020 10:37:52 PM,04/07/2020 10:39:06 PM,,,Fire,04/07/2020 10:51:20 PM,4300 Block of ANZA ST,San Francisco,94121,B07,34,7251,3,3,3,true,Alarm,1,ENGINE,1,7,1,Outer Richmond,"(37.777755885247686, -122.49477892930966)",200983409-E34
200983409,B07,20041884,Alarms,04/07/2020,04/07/2020,04/07/2020 10:34:01 PM,04/07/2020 10:35:56 PM,04/07/2020 10:36:10 PM,04/07/2020 10:37:50 PM,,,,Fire,04/07/2020 10:43:13 PM,4300 Block of ANZA ST,San Francisco,94121,B07,34,7251,3,3,3,false,Alarm,1,CHIEF,3,7,1,Outer Richmond,"(37.777755885247686, -122.49477892930966)",200983409-B07
200983351,E42,20041883,Medical Incident,04/07/2020,04/07/2020,04/07/2020 10:06:06 PM,04/07/2020 10:06:42 PM,04/07/2020 10:06:55 PM,04/07/2020 10:09:08 PM,04/07/2020 10:11:06 PM,,,Code 3 Transport,04/07/2020 10:24:50 PM,0 Block of MERCURY ST,San Francisco,94124,B10,42,6447,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,10,10,Bayview Hunters Point,"(37.73190188470341, -122.40164342321712)",200983351-E42
200983351,72,20041883,Medical Incident,04/07/2020,04/07/2020,04/07/2020 10:06:06 PM,04/07/2020 10:06:42 PM,04/07/2020 10:06:55 PM,04/07/2020 10:07:00 PM,04/07/2020 10:16:57 PM,04/07/2020 10:28:09 PM,04/07/2020 10:33:57 PM,Code 3 Transport,04/07/2020 11:08:11 PM,0 Block of MERCURY ST,San Francisco,94124,B10,42,6447,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,10,10,Bayview Hunters Point,"(37.73190188470341, -122.40164342321712)",200983351-72
200983344,E03,20041882,Outside Fire,04/07/2020,04/07/2020,04/07/2020 10:05:09 PM,04/07/2020 10:05:09 PM,04/07/2020 10:05:21 PM,04/07/2020 10:07:06 PM,04/07/2020 10:09:39 PM,,,Fire,04/07/2020 10:13:24 PM,TURK ST/JONES ST,San Francisco,94102,B03,03,1456,C,3,3,true,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.78300407767704, -122.41241174748173)",200983344-E03
200983322,E23,20041881,Medical Incident,04/07/2020,04/07/2020,04/07/2020 09:58:49 PM,04/07/2020 09:58:49 PM,04/07/2020 09:59:01 PM,04/07/2020 10:00:18 PM,04/07/2020 10:01:32 PM,,,Code 2 Transport,04/07/2020 10:17:55 PM,4300 Block of JUDAH ST,San Francisco,94122,B08,23,7723,A,3,3,false,Potentially Life-Threatening,1,ENGINE,1,8,4,Sunset/Parkside,"(37.76025122914754, -122.50860054214786)",200983322-E23
200983322,63,20041881,Medical Incident,04/07/2020,04/07/2020,04/07/2020 09:58:49 PM,04/07/2020 09:58:49 PM,04/07/2020 09:59:01 PM,04/07/2020 09:59:10 PM,04/07/2020 10:13:16 PM,04/07/2020 10:28:45 PM,04/07/2020 10:58:41 PM,Code 2 Transport,04/07/2020 11:56:49 PM,4300 Block of JUDAH ST,San Francisco,94122,B08,23,7723,A,3,3,true,Potentially Life-Threatening,1,MEDIC,2,8,4,Sunset/Parkside,"(37.76025122914754, -122.50860054214786)",200983322-63
200983320,T15,20041880,Alarms,04/07/2020,04/07/2020,04/07/2020 09:54:52 PM,04/07/2020 09:56:09 PM,04/07/2020 09:56:21 PM,04/07/2020 09:58:08 PM,,,,Fire,04/07/2020 10:05:16 PM,1400 Block of SUNNYDALE AV,San Francisco,94134,B09,44,6241,3,3,3,false,Alarm,1,TRUCK,3,9,10,Visitacion Valley,"(37.71173303775177, -122.41556355358178)",200983320-T15
200983320,E43,20041880,Alarms,04/07/2020,04/07/2020,04/07/2020 09:54:52 PM,04/07/2020 09:56:09 PM,04/07/2020 09:56:21 PM,04/07/2020 09:57:17 PM,04/07/2020 10:02:11 PM,,,Fire,04/07/2020 10:05:50 PM,1400 Block of SUNNYDALE AV,San Francisco,94134,B09,44,6241,3,3,3,true,Alarm,1,ENGINE,1,9,10,Visitacion Valley,"(37.71173303775177, -122.41556355358178)",200983320-E43
200983320,B09,20041880,Alarms,04/07/2020,04/07/2020,04/07/2020 09:54:52 PM,04/07/2020 09:56:09 PM,04/07/2020 09:56:21 PM,04/07/2020 09:58:14 PM,04/07/2020 10:04:39 PM,,,Fire,04/07/2020 10:05:50 PM,1400 Block of SUNNYDALE AV,San Francisco,94134,B09,44,6241,3,3,3,false,Alarm,1,CHIEF,2,9,10,Visitacion Valley,"(37.71173303775177, -122.41556355358178)",200983320-B09
200983319,52,20041879,Medical Incident,04/07/2020,04/07/2020,04/07/2020 09:52:43 PM,04/07/2020 09:55:49 PM,04/07/2020 09:56:07 PM,04/07/2020 09:56:11 PM,04/07/2020 10:10:59 PM,04/07/2020 10:53:24 PM,04/07/2020 11:02:54 PM,Code 2 Transport,04/07/2020 11:29:23 PM,1900 Block of WASHINGTON ST,San Francisco,94109,B04,38,3226,2,2,2,true,Non Life-threatening,1,MEDIC,1,4,2,Pacific Heights,"(37.79279183477268, -122.42534841060156)",200983319-52
200983312,KM07,20041878,Medical Incident,04/07/2020,04/07/2020,04/07/2020 09:51:08 PM,04/07/2020 09:53:16 PM,04/07/2020 09:53:38 PM,04/07/2020 09:54:35 PM,04/07/2020 10:06:15 PM,,,Other,04/07/2020 10:15:42 PM,900 Block of GOLDEN GATE AVE,San Francisco,94102,B02,05,3411,2,2,2,false,Non Life-threatening,1,PRIVATE,1,2,5,Western Addition,"(37.78034810472549, -122.42536290801493)",200983312-KM07
200983301,T18,20041877,Alarms,04/07/2020,04/07/2020,04/07/2020 09:45:14 PM,04/07/2020 09:47:34 PM,04/07/2020 09:47:50 PM,04/07/2020 09:49:44 PM,04/07/2020 09:51:26 PM,,,Fire,04/07/2020 10:03:27 PM,1800 Block of 39TH AVE,San Francisco,94122,B08,18,7623,3,3,3,false,Alarm,1,TRUCK,1,8,4,Sunset/Parkside,"(37.752364082402984, -122.49776740038631)",200983301-T18
200983301,E18,20041877,Alarms,04/07/2020,04/07/2020,04/07/2020 09:45:14 PM,04/07/2020 09:47:34 PM,04/07/2020 09:47:50 PM,04/07/2020 09:49:08 PM,04/07/2020 09:51:30 PM,,,Fire,04/07/2020 10:00:55 PM,1800 Block of 39TH AVE,San Francisco,94122,B08,18,7623,3,3,3,true,Alarm,1,ENGINE,2,8,4,Sunset/Parkside,"(37.752364082402984, -122.49776740038631)",200983301-E18
200983301,B08,20041877,Alarms,04/07/2020,04/07/2020,04/07/2020 09:45:14 PM,04/07/2020 09:47:34 PM,04/07/2020 09:47:50 PM,04/07/2020 09:49:04 PM,04/07/2020 09:52:57 PM,,,Fire,04/07/2020 10:06:37 PM,1800 Block of 39TH AVE,San Francisco,94122,B08,18,7623,3,3,3,false,Alarm,1,CHIEF,3,8,4,Sunset/Parkside,"(37.752364082402984, -122.49776740038631)",200983301-B08
200983300,62,20041876,Other,04/07/2020,04/07/2020,04/07/2020 09:47:28 PM,04/07/2020 09:47:28 PM,04/07/2020 09:48:22 PM,04/07/2020 09:48:26 PM,04/07/2020 10:02:36 PM,,,Patient Declined Transport,04/07/2020 10:29:30 PM,500 Block of DUNCAN ST,San Francisco,94131,B06,11,5561,A,2,2,true,Non Life-threatening,1,MEDIC,1,6,8,Noe Valley,"(37.74567526988882, -122.43286021010961)",200983300-62
200983298,E06,20041875,Medical Incident,04/07/2020,04/07/2020,04/07/2020 09:43:47 PM,04/07/2020 09:46:24 PM,04/07/2020 09:48:39 PM,04/07/2020 09:49:48 PM,04/07/2020 09:52:12 PM,,,Code 2 Transport,04/07/2020 09:56:31 PM,1800 Block of MISSION ST,San Francisco,94103,B02,06,5215,2,3,3,true,Potentially Life-Threatening,1,ENGINE,2,2,9,Mission,"(37.76747787385289, -122.41983438916941)",200983298-E06
200983298,95,20041875,Medical Incident,04/07/2020,04/07/2020,04/07/2020 09:43:47 PM,04/07/2020 09:46:24 PM,04/07/2020 09:46:39 PM,04/07/2020 09:46:49 PM,04/07/2020 09:50:42 PM,04/07/2020 10:21:49 PM,04/07/2020 10:29:53 PM,Code 2 Transport,04/07/2020 11:09:54 PM,1800 Block of MISSION ST,San Francisco,94103,B02,06,5215,2,3,3,true,Potentially Life-Threatening,1,MEDIC,1,2,9,Mission,"(37.76747787385289, -122.41983438916941)",200983298-95
